AM;Last name;First name;New course code;New course name;Old course code;Old course name;Grade
SR000330;ΕΠΩΝΥΜΟ 0330;ΟΝΟΜΑ 0330;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;10.0
SR000330;ΕΠΩΝΥΜΟ 0330;ΟΝΟΜΑ 0330;ICE1-6006;ΨΗΦΙΑΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ;ICE1-6006;ΨΗΦΙΑΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ;8.5
SR000330;ΕΠΩΝΥΜΟ 0330;ΟΝΟΜΑ 0330;ICE1-7101;ΣΧΕΔΙΑΣΜΟΣ ΚΑΙ ΑΝΑΠΤΥΞΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ ;ICE1-7101;ΣΧΕΔΙΑΣΜΟΣ ΚΑΙ ΑΝΑΠΤΥΞΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ ;3.0
SR000330;ΕΠΩΝΥΜΟ 0330;ΟΝΟΜΑ 0330;ICE1-8109;ΘΕΩΡΙΑ ΠΑΙΓΝΙΩΝ;ICE1-8109;ΘΕΩΡΙΑ ΠΑΙΓΝΙΩΝ;10.0
SR000330;ΕΠΩΝΥΜΟ 0330;ΟΝΟΜΑ 0330;ICE1-7305;ΔΙΚΤΥΑ ΟΠΤΙΚΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ;ICE1-7305;ΔΙΚΤΥΑ ΟΠΤΙΚΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ;7.5
SR000330;ΕΠΩΝΥΜΟ 0330;ΟΝΟΜΑ 0330;ICE1-8305;ΕΥΡΥΖΩΝΙΚΑ ΔΙΚΤΥΑ;ICE1-8305;ΕΥΡΥΖΩΝΙΚΑ ΔΙΚΤΥΑ;7.5
SR000330;ΕΠΩΝΥΜΟ 0330;ΟΝΟΜΑ 0330;ICE1-8307;ΤΕΧΝΟΛΟΓΙΑ ΚΑΙ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΚΙΝΗΤΩΝ ΣΥΣΚΕΥΩΝ;ICE1-8307;ΤΕΧΝΟΛΟΓΙΑ ΚΑΙ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΚΙΝΗΤΩΝ ΣΥΣΚΕΥΩΝ;7.5
SR000332;ΕΠΩΝΥΜΟ 0332;ΟΝΟΜΑ 0332;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;1.8
SR000332;ΕΠΩΝΥΜΟ 0332;ΟΝΟΜΑ 0332;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;8.6
SR000332;ΕΠΩΝΥΜΟ 0332;ΟΝΟΜΑ 0332;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;1.8
SR000332;ΕΠΩΝΥΜΟ 0332;ΟΝΟΜΑ 0332;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;1.8
SR000332;ΕΠΩΝΥΜΟ 0332;ΟΝΟΜΑ 0332;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;1.8
SR000332;ΕΠΩΝΥΜΟ 0332;ΟΝΟΜΑ 0332;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;8.6
SR000332;ΕΠΩΝΥΜΟ 0332;ΟΝΟΜΑ 0332;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;3.4
SR000333;ΕΠΩΝΥΜΟ 0333;ΟΝΟΜΑ 0333;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;0.3
SR000334;ΕΠΩΝΥΜΟ 0334;ΟΝΟΜΑ 0334;ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;6.5
SR000334;ΕΠΩΝΥΜΟ 0334;ΟΝΟΜΑ 0334;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;7.5
SR000335;ΕΠΩΝΥΜΟ 0335;ΟΝΟΜΑ 0335;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;0.3
SR000335;ΕΠΩΝΥΜΟ 0335;ΟΝΟΜΑ 0335;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;8.1
SR000338;ΕΠΩΝΥΜΟ 0338;ΟΝΟΜΑ 0338;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;8.6
SR000338;ΕΠΩΝΥΜΟ 0338;ΟΝΟΜΑ 0338;ICE1-4005;ΣΧΕΔΙΑΣΗ ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;ICE1-4005;ΣΧΕΔΙΑΣΗ ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;8.6
SR000338;ΕΠΩΝΥΜΟ 0338;ΟΝΟΜΑ 0338;ICE1-4005;ΣΧΕΔΙΑΣΗ ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;ICE1-4005;ΣΧΕΔΙΑΣΗ ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;8.6
SR000339;ΕΠΩΝΥΜΟ 0339;ΟΝΟΜΑ 0339;ICE1-4001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ Ι;ICE1-4001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ Ι;7.5
SR000339;ΕΠΩΝΥΜΟ 0339;ΟΝΟΜΑ 0339;ICE1-5001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΙΙ;ICE1-5001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΙΙ;0.3
SR000339;ΕΠΩΝΥΜΟ 0339;ΟΝΟΜΑ 0339;ICE1-5001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΙΙ;ICE1-5001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΙΙ;0.3
SR000339;ΕΠΩΝΥΜΟ 0339;ΟΝΟΜΑ 0339;ICE1-5001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΙΙ;ICE1-5001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΙΙ;0.3
SR000339;ΕΠΩΝΥΜΟ 0339;ΟΝΟΜΑ 0339;ICE1-5001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΙΙ;ICE1-5001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΙΙ;0.3
SR000339;ΕΠΩΝΥΜΟ 0339;ΟΝΟΜΑ 0339;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;3.5
SR000340;ΕΠΩΝΥΜΟ 0340;ΟΝΟΜΑ 0340;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;10.0
SR000348;ΕΠΩΝΥΜΟ 0348;ΟΝΟΜΑ 0348;ICE1-5002;ΔΙΚΤΥΑΚΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ;ICE1-5002;ΔΙΚΤΥΑΚΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ;1.0
SR000352;ΕΠΩΝΥΜΟ 0352;ΟΝΟΜΑ 0352;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;6.8
SR000354;ΕΠΩΝΥΜΟ 0354;ΟΝΟΜΑ 0354;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;1.8
SR000354;ΕΠΩΝΥΜΟ 0354;ΟΝΟΜΑ 0354;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;3.7
SR000354;ΕΠΩΝΥΜΟ 0354;ΟΝΟΜΑ 0354;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;3.6
SR000357;ΕΠΩΝΥΜΟ 0357;ΟΝΟΜΑ 0357;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;10.0
SR000357;ΕΠΩΝΥΜΟ 0357;ΟΝΟΜΑ 0357;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;3.5
SR000358;ΕΠΩΝΥΜΟ 0358;ΟΝΟΜΑ 0358;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;4.2
SR000358;ΕΠΩΝΥΜΟ 0358;ΟΝΟΜΑ 0358;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;1.8
SR000358;ΕΠΩΝΥΜΟ 0358;ΟΝΟΜΑ 0358;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;8.6
SR000358;ΕΠΩΝΥΜΟ 0358;ΟΝΟΜΑ 0358;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;0.3
SR000358;ΕΠΩΝΥΜΟ 0358;ΟΝΟΜΑ 0358;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;10.0
SR000358;ΕΠΩΝΥΜΟ 0358;ΟΝΟΜΑ 0358;ICE1-4001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ Ι;ICE1-4001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ Ι;8.6
SR000358;ΕΠΩΝΥΜΟ 0358;ΟΝΟΜΑ 0358;ICE1-4001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ Ι;ICE1-4001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ Ι;3.7
SR000358;ΕΠΩΝΥΜΟ 0358;ΟΝΟΜΑ 0358;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;5.6
SR000358;ΕΠΩΝΥΜΟ 0358;ΟΝΟΜΑ 0358;ICE1-3005;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι;ICE1-3005;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι;3.5
SR000358;ΕΠΩΝΥΜΟ 0358;ΟΝΟΜΑ 0358;ICE1-3005;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι;ICE1-3005;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι;0.3
SR000363;ΕΠΩΝΥΜΟ 0363;ΟΝΟΜΑ 0363;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;0.3
SR000363;ΕΠΩΝΥΜΟ 0363;ΟΝΟΜΑ 0363;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;8.6
SR000363;ΕΠΩΝΥΜΟ 0363;ΟΝΟΜΑ 0363;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;7.5
SR000363;ΕΠΩΝΥΜΟ 0363;ΟΝΟΜΑ 0363;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;7.5
SR000363;ΕΠΩΝΥΜΟ 0363;ΟΝΟΜΑ 0363;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;0.3
SR000363;ΕΠΩΝΥΜΟ 0363;ΟΝΟΜΑ 0363;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;0.3
SR000363;ΕΠΩΝΥΜΟ 0363;ΟΝΟΜΑ 0363;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;10.0
SR000366;ΕΠΩΝΥΜΟ 0366;ΟΝΟΜΑ 0366;ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;8.6
SR000366;ΕΠΩΝΥΜΟ 0366;ΟΝΟΜΑ 0366;ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;10.0
SR000367;ΕΠΩΝΥΜΟ 0367;ΟΝΟΜΑ 0367;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;6.8
SR000371;ΕΠΩΝΥΜΟ 0371;ΟΝΟΜΑ 0371;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;7.5
SR000371;ΕΠΩΝΥΜΟ 0371;ΟΝΟΜΑ 0371;ICE1-3001;ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΠΟΛΥΠΛΟΚΟΤΗΤΑ;ICE1-3001;ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΠΟΛΥΠΛΟΚΟΤΗΤΑ;10.0
SR000371;ΕΠΩΝΥΜΟ 0371;ΟΝΟΜΑ 0371;ICE1-3006;ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-3006;ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ;0.3
SR000371;ΕΠΩΝΥΜΟ 0371;ΟΝΟΜΑ 0371;ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;7.5
SR000371;ΕΠΩΝΥΜΟ 0371;ΟΝΟΜΑ 0371;ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;1.1
SR000371;ΕΠΩΝΥΜΟ 0371;ΟΝΟΜΑ 0371;ICE1-6003;ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ;ICE1-6003;ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ;9.7
SR000376;ΕΠΩΝΥΜΟ 0376;ΟΝΟΜΑ 0376;ICE1-3002;ΗΛΕΚΤΡΟΝΙΚΗ;ICE1-3002;ΗΛΕΚΤΡΟΝΙΚΗ;1.4
SR000376;ΕΠΩΝΥΜΟ 0376;ΟΝΟΜΑ 0376;ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;6.2
SR000376;ΕΠΩΝΥΜΟ 0376;ΟΝΟΜΑ 0376;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;3.4
SR000376;ΕΠΩΝΥΜΟ 0376;ΟΝΟΜΑ 0376;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;6.8
SR000376;ΕΠΩΝΥΜΟ 0376;ΟΝΟΜΑ 0376;ICE1-7301;ΠΡΟΗΓΜΕΝΕΣ ΔΙΚΤΥΑΚΕΣ ΤΕΧΝΟΛΟΓΙΕΣ;ICE1-7301;ΠΡΟΗΓΜΕΝΕΣ ΔΙΚΤΥΑΚΕΣ ΤΕΧΝΟΛΟΓΙΕΣ;1.1
SR000376;ΕΠΩΝΥΜΟ 0376;ΟΝΟΜΑ 0376;ICE1-7301;ΠΡΟΗΓΜΕΝΕΣ ΔΙΚΤΥΑΚΕΣ ΤΕΧΝΟΛΟΓΙΕΣ;ICE1-7301;ΠΡΟΗΓΜΕΝΕΣ ΔΙΚΤΥΑΚΕΣ ΤΕΧΝΟΛΟΓΙΕΣ;8.6
SR000377;ΕΠΩΝΥΜΟ 0377;ΟΝΟΜΑ 0377;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;7.5
SR000377;ΕΠΩΝΥΜΟ 0377;ΟΝΟΜΑ 0377;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;8.6
SR000380;ΕΠΩΝΥΜΟ 0380;ΟΝΟΜΑ 0380;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;8.6
SR000380;ΕΠΩΝΥΜΟ 0380;ΟΝΟΜΑ 0380;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;10.0
SR000380;ΕΠΩΝΥΜΟ 0380;ΟΝΟΜΑ 0380;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;10.0
SR000380;ΕΠΩΝΥΜΟ 0380;ΟΝΟΜΑ 0380;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;10.0
SR000380;ΕΠΩΝΥΜΟ 0380;ΟΝΟΜΑ 0380;ICE1-3001;ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΠΟΛΥΠΛΟΚΟΤΗΤΑ;ICE1-3001;ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΠΟΛΥΠΛΟΚΟΤΗΤΑ;1.1
SR000380;ΕΠΩΝΥΜΟ 0380;ΟΝΟΜΑ 0380;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;7.5
SR000380;ΕΠΩΝΥΜΟ 0380;ΟΝΟΜΑ 0380;ICE1-3005;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι;ICE1-3005;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι;10.0
SR000380;ΕΠΩΝΥΜΟ 0380;ΟΝΟΜΑ 0380;ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;3.4
SR000380;ΕΠΩΝΥΜΟ 0380;ΟΝΟΜΑ 0380;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;6.8
SR000384;ΕΠΩΝΥΜΟ 0384;ΟΝΟΜΑ 0384;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;0.4
SR000387;ΕΠΩΝΥΜΟ 0387;ΟΝΟΜΑ 0387;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;10.0
SR000387;ΕΠΩΝΥΜΟ 0387;ΟΝΟΜΑ 0387;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;10.0
SR000387;ΕΠΩΝΥΜΟ 0387;ΟΝΟΜΑ 0387;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;10.0
SR000391;ΕΠΩΝΥΜΟ 0391;ΟΝΟΜΑ 0391;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;10.0
SR000392;ΕΠΩΝΥΜΟ 0392;ΟΝΟΜΑ 0392;ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;8.6
SR000392;ΕΠΩΝΥΜΟ 0392;ΟΝΟΜΑ 0392;ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;6.8
SR000392;ΕΠΩΝΥΜΟ 0392;ΟΝΟΜΑ 0392;ICE1-5006;ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΑΡΑΛΛΗΛΟ ΥΠΟΛΟΓΙΣΜΟ;ICE1-5006;ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΑΡΑΛΛΗΛΟ ΥΠΟΛΟΓΙΣΜΟ;0.3
SR000392;ΕΠΩΝΥΜΟ 0392;ΟΝΟΜΑ 0392;ICE1-5006;ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΑΡΑΛΛΗΛΟ ΥΠΟΛΟΓΙΣΜΟ;ICE1-5006;ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΑΡΑΛΛΗΛΟ ΥΠΟΛΟΓΙΣΜΟ;3.4
SR000392;ΕΠΩΝΥΜΟ 0392;ΟΝΟΜΑ 0392;ICE1-6002;ΑΣΦΑΛΕΙΑ ΣΤΗΝ ΤΕΧΝΟΛΟΓΙΑ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;ICE1-6002;ΑΣΦΑΛΕΙΑ ΣΤΗΝ ΤΕΧΝΟΛΟΓΙΑ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1.8
